combined.filtered.nomasked.1	Alex_CAMP2ndWP
combined.filtered.nomasked.2	Alex_MW
combined.filtered.nomasked.3	Alex_NE
combined.filtered.nomasked.4	Mapourika_Jetty_Pool1
combined.filtered.nomasked.5	Mapourika_Mix_Pool2
combined.filtered.nomasked.6	Mapourika_Otto_Pool3
combined.filtered.nomasked.7	Middleton_Pool1
combined.filtered.nomasked.8	Middleton_Pool2
combined.filtered.nomasked.9	Middleton_Pool3
combined.filtered.nomasked.10	Paringa_Pool1
combined.filtered.nomasked.11	Paringa_Pool2
combined.filtered.nomasked.12	Paringa_Pool3
combined.filtered.nomasked.13	Paringa_Pool4
combined.filtered.nomasked.14	Selfe_Pool1
combined.filtered.nomasked.15	Selfe_Pool2
combined.filtered.nomasked.16	Selfe_Pool3
